,Unnamed: 0,game_name,game_params,init_time,total_time,times,level,load,it,GPU,CPU,storage,config_id
38,38.0,Hearthstone,"{'move_time': 0.0, 'kill_mode': 'os', 'process_name': ['Hearth', 'Battle'], 'window_names': ['Battle.net', 'Hearthstone']}",2021-12-16 21:59:36.204591360,33.7817351818,"[0.2568175792694092, 7.597670078277588, 24.642065286636353, 33.262094020843506]",8.6200287342,17.0443952084,8,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
39,39.0,Hearthstone,"{'move_time': 0.0, 'kill_mode': 'os', 'process_name': ['Hearth', 'Battle'], 'window_names': ['Battle.net', 'Hearthstone']}",2021-12-16 22:00:23.206804736,32.7488563061,"[0.2306835651397705, 6.85978889465332, 23.047174215316772, 32.22297549247742]",9.1758012772,16.1873853207,9,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
40,,Minecraft,"{'window_names': ['Minecraft Launcher', 'Minecraft 1.18.1'], 'move_time': 0.0, 'kill_mode': 'keyboard'}",2021-12-16 11:49:06.073750016,52.9445645809,"[0.2612955570220947, 3.0270872116088867, 25.877057790756226, 27.26841163635254, 52.393516302108765]",25.1251046658,22.8499705791,0,GTX 960,i5-7600 @ 3.5GHz,SSD,1
41,,Minecraft,"{'window_names': ['Minecraft Launcher', 'Minecraft 1.18.1'], 'move_time': 0.0, 'kill_mode': 'keyboard'}",2021-12-16 11:50:10.406938112,48.970179081,"[0.22128653526306152, 2.9949541091918945, 25.38810133934021, 26.848928689956665, 48.3293662071228]",21.4804375172,22.3931472301,1,GTX 960,i5-7600 @ 3.5GHz,SSD,1
42,,Minecraft,"{'window_names': ['Minecraft Launcher', 'Minecraft 1.18.1'], 'move_time': 0.0, 'kill_mode': 'keyboard'}",2021-12-16 11:51:10.610883328,76.1607558727,"[0.24219083786010742, 2.9308242797851562, 25.319728136062622, 26.00294280052185, 75.88199496269226]",49.8790521622,22.3889038563,2,GTX 960,i5-7600 @ 3.5GHz,SSD,1
43,,Minecraft,"{'window_names': ['Minecraft Launcher', 'Minecraft 1.18.1'], 'move_time': 0.0, 'kill_mode': 'keyboard'}",2021-12-16 11:52:37.716064256,51.3053939342,"[0.21586394309997559, 2.9216816425323486, 24.94662833213806, 25.542598724365234, 50.472079038619995]",24.9294803143,22.0249466896,3,GTX 960,i5-7600 @ 3.5GHz,SSD,1
44,,Minecraft,"{'window_names': ['Minecraft Launcher', 'Minecraft 1.18.1'], 'move_time': 0.0, 'kill_mode': 'keyboard'}",2021-12-16 11:53:40.692578560,80.441485405,"[0.24609804153442383, 2.944303512573242, 25.11118459701538, 26.429215669631958, 80.1890823841095]",53.7598667145,22.1668810844,4,GTX 960,i5-7600 @ 3.5GHz,SSD,1
45,,Minecraft,"{'window_names': ['Minecraft Launcher', 'Minecraft 1.18.1'], 'move_time': 0.0, 'kill_mode': 'keyboard'}",2021-12-16 11:55:12.097649408,48.538295269,"[0.2505991458892822, 2.926461696624756, 25.88569164276123, 26.568901777267456, 47.96329855918884]",21.3943967819,22.9592299461,5,GTX 960,i5-7600 @ 3.5GHz,SSD,1
46,,Minecraft,"{'window_names': ['Minecraft Launcher', 'Minecraft 1.18.1'], 'move_time': 0.0, 'kill_mode': 'keyboard'}",2021-12-16 11:56:11.888169216,48.7032306194,"[0.24033641815185547, 3.009228467941284, 25.096144914627075, 26.492883443832397, 48.13821506500244]",21.6453316212,22.0869164467,6,GTX 960,i5-7600 @ 3.5GHz,SSD,1
47,,Minecraft,"{'window_names': ['Minecraft Launcher', 'Minecraft 1.18.1'], 'move_time': 0.0, 'kill_mode': 'keyboard'}",2021-12-16 11:57:11.979071232,73.7939302921,"[0.22814297676086426, 2.964787006378174, 22.931607723236084, 23.55262517929077, 73.42789268493652]",49.8752675056,19.9668207169,7,GTX 960,i5-7600 @ 3.5GHz,SSD,1
48,,Minecraft,"{'window_names': ['Minecraft Launcher', 'Minecraft 1.18.1'], 'move_time': 0.0, 'kill_mode': 'keyboard'}",2021-12-16 11:58:36.871999232,80.4259305,"[0.24518394470214844, 2.9827699661254883, 23.409964561462402, 23.975974321365356, 80.1102683544159]",56.1342940331,20.4271945953,8,GTX 960,i5-7600 @ 3.5GHz,SSD,1
